День недели;Класс;Предмет;Кабинет
Понедельник;5В   ;1. Разговоры о Важном;40
Понедельник;5В   ;2. Русский язык;44
Понедельник;5В   ;3. Математика;37
Понедельник;5В   ;4. История;40
Понедельник;5В   ;5. Литература;46
Понедельник;5В   ;6. ИЗО;акт.зал
Понедельник;5В   ;7. Практикум по Мат.;37
Понедельник;5Г   ;1. Разговоры о Важном;47
Понедельник;5Г   ;2. Русский язык;47
Понедельник;5Г   ;3. Математика;34
Понедельник;5Г   ;4. Техн./Англ. язык;42/39
Понедельник;5Г   ;5. Биология;54
Понедельник;5Г   ;6. Англи. язык/Техн.;42/39
Понедельник;5Г   ;7. Русский язык;47
Понедельник;5Д   ;1. Разговоры о Важном;52
Понедельник;5Д   ;2. Математика;30
Понедельник;5Д   ;3. Русский язык;41
Понедельник;5Д   ;4. Биология;54
Понедельник;5Д   ;5. Литература;41
Понедельник;5Д   ;6. ОДНКР;52
Понедельник;5Д   ;7. Физ. культура;бол.зал
Понедельник;6Г   ;1. Разговоры о важном;38
Понедельник;6Г   ;2. Музыка;акт.зал
